,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
372,3.0,2.0,0.12,7003.0,1500.0,1999-09-08,489000.0,1999,40.809128,-74.187155,11
373,3.0,3.0,0.09,7003.0,1232.0,2018-10-03,385000.0,2018,40.809128,-74.187155,11
374,3.0,2.0,0.12,7003.0,1500.0,2016-11-23,550000.0,2016,40.809128,-74.187155,11
376,3.0,2.0,0.12,7003.0,1500.0,2000-06-05,429000.0,2000,40.809128,-74.187155,11
380,3.0,2.0,0.08,7003.0,1500.0,2014-04-07,379900.0,2014,40.809128,-74.187155,11
381,4.0,3.0,0.12,7003.0,1500.0,2005-02-10,392000.0,2005,40.809128,-74.187155,11
382,5.0,3.0,0.15,7003.0,1500.0,2015-12-09,470000.0,2015,40.809128,-74.187155,11
384,2.0,3.0,2.24,7003.0,1720.0,2016-08-15,365000.0,2016,40.809128,-74.187155,11
385,3.0,1.0,0.17,7003.0,1500.0,2004-05-28,299000.0,2004,40.809128,-74.187155,11
386,3.0,2.0,0.11,7003.0,1500.0,2008-04-30,350000.0,2008,40.809128,-74.187155,11
388,4.0,3.0,0.08,7003.0,1500.0,1991-10-16,428888.0,1991,40.809128,-74.187155,11
389,2.0,2.0,0.09,7003.0,1156.0,2005-10-06,499000.0,2005,40.809128,-74.187155,11
391,3.0,2.0,0.08,7003.0,1280.0,2020-10-26,425000.0,2020,40.809128,-74.187155,11
393,4.0,3.0,0.11,7003.0,1500.0,2002-11-19,450000.0,2002,40.809128,-74.187155,11
394,3.0,2.0,0.08,7003.0,1500.0,2022-02-01,385900.0,2022,40.809128,-74.187155,11
396,6.0,4.0,0.11,7003.0,2750.0,2022-02-18,585000.0,2022,40.809128,-74.187155,11
398,3.0,2.0,0.08,7003.0,1500.0,2022-01-26,359000.0,2022,40.809128,-74.187155,11
399,5.0,3.0,0.12,7003.0,1500.0,2016-08-09,449988.0,2016,40.809128,-74.187155,11
400,2.0,1.0,0.06,7003.0,1500.0,1996-05-15,269900.0,1996,40.809128,-74.187155,11
